eco_id	eco_name	status	best_title	best_url	score	redirected_from	candidates	notes
723	Al-Hajar montane woodlands and shrublands	redirect	Al Hajar montane woodlands	https://en.wikipedia.org/wiki/Al_Hajar_montane_woodlands	79.06976744186046	Al-Hajar montane woodlands and shrublands		Redirects to: Al Hajar montane woodlands
330	Appalachian Piedmont forests	partial_match	Appalachian Highlands	https://en.wikipedia.org/wiki/Appalachian_Highlands	68.75		Appalachian Highlands | Southeastern mixed forests | Appalachian Mountains	Score 69, review needed
810	Arabian sand desert	strong_match	Arabian Desert	https://en.wikipedia.org/wiki/Arabian_Desert	100.0		Arabian Desert | Sand cat | Erg (landform)	
346	Arizona Mountains forests	redirect	Arizona/New Mexico Mountains ecoregion	https://en.wikipedia.org/wiki/Arizona/New_Mexico_Mountains_ecoregion	66.66666666666666	Arizona Mountains forests		Redirects to: Arizona/New Mexico Mountains ecoregion
612	Bahamian-Antillean mangroves	redirect	Greater Antilles mangroves	https://en.wikipedia.org/wiki/Greater_Antilles_mangroves	66.66666666666666	Bahamian-Antillean mangroves		Redirects to: Greater Antilles mangroves
564	Belizian pine savannas	redirect	Belizean pine forests	https://en.wikipedia.org/wiki/Belizean_pine_forests	69.76744186046511	Belizian pine savannas		Redirects to: Belizean pine forests
565	Beni savanna	redirect	Llanos de Moxos	https://en.wikipedia.org/wiki/Llanos_de_Moxos	29.629629629629633	Beni savanna		Redirects to: Llanos de Moxos
182	Brigalow tropical savanna	redirect	Brigalow Belt	https://en.wikipedia.org/wiki/Brigalow_Belt	76.19047619047619	Brigalow tropical savanna		Redirects to: Brigalow Belt
691	Caledon conifer forests	redirect	Caledonian Forest	https://en.wikipedia.org/wiki/Caledonian_Forest	75.0	Caledon conifer forests		Redirects to: Caledonian Forest
566	Campos Rupestres montane savanna	redirect	Campos rupestres	https://en.wikipedia.org/wiki/Campos_rupestres	100.0	Campos Rupestres montane savanna		Redirects to: Campos rupestres
599	Caribbean shrublands	partial_match	La Costa xeric shrublands	https://en.wikipedia.org/wiki/La_Costa_xeric_shrublands	66.66666666666666		Venezuelan Coastal Range | Nearctic realm | La Costa xeric shrublands	Score 67, review needed
652	Central Anatolian steppe and woodlands	redirect	Central Anatolian deciduous forests	https://en.wikipedia.org/wiki/Central_Anatolian_deciduous_forests	65.38461538461539	Central Anatolian steppe and woodlands		Redirects to: Central Anatolian deciduous forests
38	Central bushveld	strong_match	Bushveld	https://en.wikipedia.org/wiki/Bushveld	100.0		Bushveld | Geography of South Africa | Bushveld Igneous Complex	
167	Chatham Island temperate forests	redirect	Chatham Islands	https://en.wikipedia.org/wiki/Chatham_Islands	63.63636363636363	Chatham Island temperate forests		Redirects to: Chatham Islands
292	Chhota-Nagpur dry deciduous forests	redirect	Chota Nagpur Plateau	https://en.wikipedia.org/wiki/Chota_Nagpur_Plateau	50.90909090909091	Chhota-Nagpur dry deciduous forests		Redirects to: Chota Nagpur Plateau
69	East African halophytics	redirect	Lake Natron	https://en.wikipedia.org/wiki/Lake_Natron	28.57142857142857	East African halophytics		Redirects to: Lake Natron
191	Eastern Australia mulga shrublands	redirect	Mulga Lands	https://en.wikipedia.org/wiki/Mulga_Lands	62.5	Eastern Australia mulga shrublands		Redirects to: Mulga Lands
333	Eastern Canadian Forest-Boreal transition	partial_match	Eastern forest–boreal transition	https://en.wikipedia.org/wiki/Eastern_forest%E2%80%93boreal_transition	84.93150684931507		Eastern forest–boreal transition | Boreal forest of Canada | Eastern Canadian Boreal Forests	Score 85, review needed
185	Einasleigh upland savanna	redirect	Einasleigh Uplands	https://en.wikipedia.org/wiki/Einasleigh_Uplands	79.06976744186046	Einasleigh upland savanna		Redirects to: Einasleigh Uplands
122	Ellsworth Mountains tundra	partial_match	Ellsworth Land	https://en.wikipedia.org/wiki/Ellsworth_Land	78.26086956521739		List of tundra ecoregions | Antarctic realm | Ellsworth Land	Score 78, review needed
199	Eyre and York mallee	redirect	Eyre Yorke Block	https://en.wikipedia.org/wiki/Eyre_Yorke_Block	61.111111111111114	Eyre and York mallee		Redirects to: Eyre Yorke Block
462	Fernando de Noronha-Atol das Rocas moist forests	redirect	Fernando de Noronha	https://en.wikipedia.org/wiki/Fernando_de_Noronha	73.33333333333333	Fernando de Noronha-Atol das Rocas moist forests		Redirects to: Fernando de Noronha
94	Gariep Karoo	partial_match	Gariep Arts Festival	https://en.wikipedia.org/wiki/Gariep_Arts_Festival	66.66666666666666		Gariep Arts Festival | Gariep Nature Reserve | Orange River	Score 67, review needed
201	Hampton mallee and woodlands	redirect	Hampton bioregion	https://en.wikipedia.org/wiki/Hampton_bioregion	58.333333333333336	Hampton mallee and woodlands		Redirects to: Hampton bioregion
96	Ile Europa and Bassas da India xeric scrub	redirect	Europa Island	https://en.wikipedia.org/wiki/Europa_Island	63.1578947368421	Ile Europa and Bassas da India xeric scrub		Redirects to: Europa Island
336	Interior Plateau US Hardwood Forests	partial_match	Central U.S. hardwood forests	https://en.wikipedia.org/wiki/Central_U.S._hardwood_forests	73.84615384615384		Interior Low Plateaus | Central U.S. hardwood forests | List of ecoregions in the United States (EPA)	Score 74, review needed
533	Islas Revillagigedo dry forests	redirect	Revillagigedo Islands	https://en.wikipedia.org/wiki/Revillagigedo_Islands	76.47058823529412	Islas Revillagigedo dry forests		Redirects to: Revillagigedo Islands
202	Jarrah-Karri forest and shrublands	redirect	Warren bioregion	https://en.wikipedia.org/wiki/Warren_bioregion	32.0	Jarrah-Karri forest and shrublands		Redirects to: Warren bioregion
97	Kalahari xeric savanna	redirect	Kalahari Desert	https://en.wikipedia.org/wiki/Kalahari_Desert	69.56521739130434	Kalahari xeric savanna		Redirects to: Kalahari Desert
733	Kazakh upland steppe	strong_match	Kazakh Steppe	https://en.wikipedia.org/wiki/Kazakh_Steppe	100.0		Kazakh Steppe | Kazakh Uplands | Eurasian Steppe	
313	Kinabalu montane alpine meadows	redirect	Mount Kinabalu	https://en.wikipedia.org/wiki/Mount_Kinabalu	72.72727272727272	Kinabalu montane alpine meadows		Redirects to: Mount Kinabalu
357	Klamath-Siskiyou forests	redirect	Klamath Mountains (ecoregion)	https://en.wikipedia.org/wiki/Klamath_Mountains_(ecoregion)	49.056603773584904	Klamath-Siskiyou forests		Redirects to: Klamath Mountains (ecoregion)
16	Kwazulu Natal-Cape coastal forests	partial_match	KwaZulu–Cape coastal forest mosaic	https://en.wikipedia.org/wiki/KwaZulu%E2%80%93Cape_coastal_forest_mosaic	76.47058823529412		KwaZulu-Natal | KwaZulu–Cape coastal forest mosaic | Forests of KwaZulu-Natal	Score 76, review needed
577	Low Monte	redirect	Argentine Monte	https://en.wikipedia.org/wiki/Argentine_Monte	71.42857142857143	Low Monte		Redirects to: Argentine Monte
