Country_ID	Country_Name	Country_Code	Assign_to
231	Tunisia	TUN	NA
232	Turkey	TUR	NA
233	Turkmenistan	TKM	NA
234	Turks and Caicos Islands	TCA	NA
235	Tuvalu	TUV	NA
236	Uganda	UGA	NA
237	Ukraine	UKR	NA
238	United Arab Emirates	ARE	NA
239	United Kingdom	GBR	NA
240	United States	USA	NA
241	United States Minor Outlying Islands	UMI	United States of America
242	Uruguay	URY	NA
243	Uzbekistan	UZB	NA
244	Vanuatu	VUT	NA
245	Vatican City	VAT	NA
246	Venezuela	VEN	NA
247	Vietnam	VNM	NA
248	Virgin Islands, U.S.	VIR	NA
250	Western Sahara	ESH	NA
251	Yemen	YEM	NA
252	Zambia	ZMB	NA
253	Zimbabwe	ZWE	NA
