eco_name	oe_slug	oe_title
Eastern Canadian Forest-Boreal transition	eastern-canadian-temperate-boreal-forest-transition	Eastern Canadian Temperate-Boreal Forest Transition
Eastern Canadian forests	eastern-canadian-boreal-forests	Eastern Canadian Boreal Forests
Eyre and York mallee	eyre-and-yorke-mallee	Eyre and Yorke Mallee
Interior Yukon-Alaska alpine tundra	interior-alaska-yukon-alpine-tundra	Interior Alaska-Yukon Alpine Tundra
Northeast Himalayan subalpine conifer forests	northeastern-himalayan-subalpine-conifer-forests	Northeastern Himalayan Subalpine Conifer Forests
Northeast Spain and Southern France Mediterranean forests	northeastern-spain-and-southern-france-mediterranean-forests	Northeastern Spain and Southern France Mediterranean Forests
Piney Woods	piney-woods-forests	Piney Woods Forests
Rapa Nui and Sala y Gómez subtropical forests	rapa-nui-and-sala-y-gomez-subtropical-broadleaf-forests	Rapa Nui and Sala Y Gómez Subtropical Broadleaf Forests
Southeast Iberian shrubs and woodlands	southeastern-iberian-shrubs-and-woodlands	Southeastern Iberian Shrubs and Woodlands
Southeast Indochina dry evergreen forests	southeastern-indochina-dry-evergreen-forests	Southeastern Indochina Dry Evergreen Forests
Southeast Papuan rain forests	southeastern-papuan-rainforests	Southeastern Papuan Rainforests
Tirari-Sturt stony desert	tirari-stuart-stony-desert	Tirari-Stuart Stony Desert
East Central Texas forests	east-central-texas-savanna-woodland	East Central Texas Savanna-Woodland
Southeast US mixed woodlands and savannas	southeast-us-conifer-savannas	Southeast US Conifer Savannas
Rock and Ice		
Serengeti volcanic grasslands		
