eco_id	eco_name	slug	oneearth_title	match_type	score
58	Southern Congolian forest-savanna	southern-congolian-forest-savanna	Southern Congolian Forest-Savanna	norm_exact	1.0000
59	Southwest Arabian montane woodlands and grasslands	southwest-arabian-montane-woodlands-and-grasslands	Southwest Arabian Montane Woodlands and Grasslands	norm_exact	1.0000
60	St. Helena scrub and woodlands	st-helena-scrub-and-woodlands	St. Helena Scrub and Woodlands	norm_exact	1.0000
61	Victoria Basin forest-savanna	victoria-basin-forest-savanna	Victoria Basin Forest-Savanna	norm_exact	1.0000
62	West Sudanian savanna	west-sudanian-savanna	West Sudanian Savanna	norm_exact	1.0000
63	Western Congolian forest-savanna	western-congolian-forest-savanna	Western Congolian Forest-Savanna	norm_exact	1.0000
64	Zambezian Baikiaea woodlands	zambezian-baikiaea-woodlands	Zambezian Baikiaea Woodlands	norm_exact	1.0000
65	Zambezian mopane woodlands	zambezian-mopane-woodlands	Zambezian Mopane Woodlands	norm_exact	1.0000
66	Zambezian-Limpopo mixed woodlands	zambezian-limpopo-mixed-woodlands	Zambezian-Limpopo Mixed Woodlands	norm_exact	1.0000
67	Amsterdam-Saint Paul Islands temperate grasslands	amsterdam-saint-paul-islands-temperate-grasslands	Amsterdam-Saint Paul Islands Temperate Grasslands	norm_exact	1.0000
68	Tristan Da Cunha-Gough Islands shrub and grasslands	tristan-da-cunha-gough-islands-shrub-and-grasslands	Tristan Da Cunha-Gough Islands Shrub and Grasslands	norm_exact	1.0000
69	East African halophytics	east-african-halophytics	East African Halophytics	norm_exact	1.0000
70	Etosha Pan halophytics	etosha-pan-halophytics	Etosha Pan Halophytics	norm_exact	1.0000
71	Inner Niger Delta flooded savanna	inner-niger-delta-flooded-savanna	Inner Niger Delta Flooded Savanna	norm_exact	1.0000
72	Lake Chad flooded savanna	lake-chad-flooded-savanna	Lake Chad Flooded Savanna	norm_exact	1.0000
73	Makgadikgadi halophytics	makgadikgadi-halophytics	Makgadikgadi Halophytics	norm_exact	1.0000
74	Sudd flooded grasslands	sudd-flooded-grasslands	Sudd Flooded Grasslands	norm_exact	1.0000
75	Zambezian coastal flooded savanna	zambezian-coastal-flooded-savanna	Zambezian Coastal Flooded Savanna	norm_exact	1.0000
76	Zambezian flooded grasslands	zambezian-flooded-grasslands	Zambezian Flooded Grasslands	norm_exact	1.0000
77	Angolan montane forest-grassland	angolan-montane-forest-grassland	Angolan Montane Forest-Grassland	norm_exact	1.0000
78	East African montane moorlands	east-african-montane-moorlands	East African Montane Moorlands	norm_exact	1.0000
79	Ethiopian montane grasslands and woodlands	ethiopian-montane-grasslands-and-woodlands	Ethiopian Montane Grasslands and Woodlands	norm_exact	1.0000
80	Ethiopian montane moorlands	ethiopian-montane-moorlands	Ethiopian Montane Moorlands	norm_exact	1.0000
81	Highveld grasslands	highveld-grasslands	Highveld Grasslands	norm_exact	1.0000
82	Jos Plateau forest-grassland	jos-plateau-forest-grassland	Jos Plateau Forest-Grassland	norm_exact	1.0000
83	Madagascar ericoid thickets	madagascar-ericoid-thickets	Madagascar Ericoid Thickets	norm_exact	1.0000
84	Mulanje Montane forest-grassland	mulanje-montane-forest-grassland	Mulanje Montane Forest-Grassland	norm_exact	1.0000
85	Nyanga-Chimanimani Montane forest-grassland	nyanga-chimanimani-montane-forest-grassland	Nyanga-Chimanimani Montane Forest-Grassland	norm_exact	1.0000
86	Rwenzori-Virunga montane moorlands	rwenzori-virunga-montane-moorlands	Rwenzori-Virunga Montane Moorlands	norm_exact	1.0000
87	Southern Rift Montane forest-grassland	southern-rift-montane-forest-grassland	Southern Rift Montane Forest-Grassland	norm_exact	1.0000
88	Albany thickets	albany-thickets	Albany Thickets	norm_exact	1.0000
89	Fynbos shrubland	fynbos-shrubland	Fynbos Shrubland	norm_exact	1.0000
90	Renosterveld shrubland	renosterveld-shrubland	Renosterveld Shrubland	norm_exact	1.0000
91	Aldabra Island xeric scrub	aldabra-island-xeric-scrub	Aldabra Island Xeric Scrub	norm_exact	1.0000
92	Djibouti xeric shrublands	djibouti-xeric-shrublands	Djibouti Xeric Shrublands	norm_exact	1.0000
93	Eritrean coastal desert	eritrean-coastal-desert	Eritrean Coastal Desert	norm_exact	1.0000
94	Gariep Karoo	gariep-karoo	Gariep Karoo	norm_exact	1.0000
95	Hobyo grasslands and shrublands	hobyo-grasslands-and-shrublands	Hobyo Grasslands and Shrublands	norm_exact	1.0000
96	Ile Europa and Bassas da India xeric scrub	ile-europa-and-bassas-da-india-xeric-scrub	Ile Europa and Bassas Da India Xeric Scrub	norm_exact	1.0000
97	Kalahari xeric savanna	kalahari-xeric-savanna	Kalahari Xeric Savanna	norm_exact	1.0000
98	Kaokoveld desert	kaokoveld-desert	Kaokoveld Desert	norm_exact	1.0000
99	Madagascar spiny thickets	madagascar-spiny-thickets	Madagascar Spiny Thickets	norm_exact	1.0000
100	Madagascar succulent woodlands	madagascar-succulent-woodlands	Madagascar Succulent Woodlands	norm_exact	1.0000
101	Nama Karoo shrublands	nama-karoo-shrublands	Nama Karoo Shrublands	norm_exact	1.0000
102	Namaqualand-Richtersveld steppe	namaqualand-richtersveld-steppe	Namaqualand-Richtersveld Steppe	norm_exact	1.0000
103	Namib Desert	namib-desert	Namib Desert	norm_exact	1.0000
104	Namibian savanna woodlands	namibian-savanna-woodlands	Namibian Savanna Woodlands	norm_exact	1.0000
105	Socotra Island xeric shrublands	socotra-island-xeric-shrublands	Socotra Island Xeric Shrublands	norm_exact	1.0000
106	Somali montane xeric woodlands	somali-montane-xeric-woodlands	Somali Montane Xeric Woodlands	norm_exact	1.0000
107	Southwest Arabian coastal xeric shrublands	southwest-arabian-coastal-xeric-shrublands	Southwest Arabian Coastal Xeric Shrublands	norm_exact	1.0000
108	Southwest Arabian Escarpment shrublands and woodlands	southwest-arabian-escarpment-shrublands-and-woodlands	Southwest Arabian Escarpment Shrublands and Woodlands	norm_exact	1.0000
109	Southwest Arabian highland xeric scrub	southwest-arabian-highland-xeric-scrub	Southwest Arabian Highland Xeric Scrub	norm_exact	1.0000
110	Succulent Karoo xeric shrublands	succulent-karoo-xeric-shrublands	Succulent Karoo Xeric Shrublands	norm_exact	1.0000
111	Central African mangroves	central-african-mangroves	Central African Mangroves	norm_exact	1.0000
112	East African mangroves	east-african-mangroves	East African Mangroves	norm_exact	1.0000
113	Guinean mangroves	guinean-mangroves	Guinean Mangroves	norm_exact	1.0000
114	Madagascar mangroves	madagascar-mangroves	Madagascar Mangroves	norm_exact	1.0000
