eco_id	eco_name	matched_title	matched_slug	match_type	score
0	Rock and Ice			unmatched	66.66666666666667
745	Saharan halophytics	Saharan Halophytic	saharan-halophytic	fuzzy_partial	100.0
425	Santa Lucia Montane Chaparral & Woodlands	Santa Lucia Montane Chaparral and Woodlands	santa-lucia-montane-chaparral-and-woodlands	exact_norm	100.0
151	Seram rain forests	Seram Rainforests	seram-rainforests	exact_norm	100.0
54	Serengeti volcanic grasslands			unmatched	75.0
152	Solomon Islands rain forests	Solomon Islands Rainforests	solomon-islands-rainforests	exact_norm	100.0
269	South Taiwan monsoon rain forests	South Taiwan Monsoon Rainforests	south-taiwan-monsoon-rainforests	exact_norm	100.0
271	South Western Ghats montane rain forests	South Western Ghats Montane Rainforests	south-western-ghats-montane-rainforests	exact_norm	100.0
803	Southeast Iberian shrubs and woodlands	Southeastern Iberian Shrubs and Woodlands	southeastern-iberian-shrubs-and-woodlands	fuzzy_token_set	96.20253164556962
299	Southeast Indochina dry evergreen forests	Southeastern Indochina Dry Evergreen Forests	southeastern-indochina-dry-evergreen-forests	fuzzy_token_set	96.47058823529412
153	Southeast Papuan rain forests	Southeastern Papuan Rainforests	southeastern-papuan-rainforests	fuzzy_token_set	94.91525423728814
400	Southeast US mixed woodlands and savannas			unmatched	84.0
272	Southern Annamites montane rain forests	Southern Annamites Montane Rainforests	southern-annamites-montane-rainforests	exact_norm	100.0
155	Southern New Guinea lowland rain forests	Southern New Guinea Lowland Rainforests	southern-new-guinea-lowland-rainforests	exact_norm	100.0
274	Sri Lanka lowland rain forests	Sri Lanka Lowland Rainforests	sri-lanka-lowland-rainforests	exact_norm	100.0
275	Sri Lanka montane rain forests	Sri Lanka Montane Rainforests	sri-lanka-montane-rainforests	exact_norm	100.0
156	Sulawesi lowland rain forests	Sulawesi Lowland Rainforests	sulawesi-lowland-rainforests	exact_norm	100.0
157	Sulawesi montane rain forests	Sulawesi Montane Rainforests	sulawesi-montane-rainforests	exact_norm	100.0
276	Sulu Archipelago rain forests	Sulu Archipelago Rainforests	sulu-archipelago-rainforests	exact_norm	100.0
278	Sumatran lowland rain forests	Sumatran Lowland Rainforests	sumatran-lowland-rainforests	exact_norm	100.0
279	Sumatran montane rain forests	Sumatran Montane Rainforests	sumatran-montane-rainforests	exact_norm	100.0
179	Tasmanian temperate rain forests	Tasmanian Temperate Rainforests	tasmanian-temperate-rainforests	exact_norm	100.0
