id	title	title_source	title_uri	ccodes	matches	names	types	aat_types	parent_name	parent_id	lon	lat	geowkt	geo_source	geo_id	start	end
84986	Hunafloi			IS	dbp:Húnaflói	Hunafloi	fiord				-20.8333	65.8333	POINT (-20.8333 65.83329999999999)		dbp:Húnaflói	795	900
84950	Hubei				dbp:Hubei;tgn:7002078	Hubei	region;province				112.25	31	POINT (112.25 31)		tgn:7002078	1910	1928
84951	Huber			US		Huber	inhabited places									400	1500
84952	Hubli			IN	dbp:Hubli	Hubli	inhabited places				75.085	15.3617	POINT (75.08499999999999 15.3617)		dbp:Hubli	1500	1800
84953	Huddersfield			GB	dbp:Huddersfield;tgn:7010462	Huddersfield	inhabited places				-1.783333	53.65	POINT (-1.783333 53.65)		tgn:7010462	1770	1870
84954	Hudson Bay				dbp:Hudson_Bay;wd:Q3040;viaf:128939157;gn:5978134;loc:n90621798	Hudson Bay	bay				-85	60	POINT (-85 60)		dbp:Hudson_Bay	1600	1750
84955	Hudson Bay Company				dbp:Hudson's_Bay_Company	Hudson Bay Company	possession;nation									1750	1815
84956	Hudson River				dbp:Hudson_River;wd:Q3140;viaf:235959579;tgn:7013729;gn:5121521;loc:sh85062785	Hudson River	river				-74.042	40.6001	POINT (-74.042 40.6001)		wd:Q3140	1775	1783
84957	Hudson Strait				dbp:Hudson_Strait	Hudson Strait	passage				-78.1	62.35	POINT (-78.09999999999999 62.35)		dbp:Hudson_Strait	1550	1820
84958	Huehuetoca			MX	dbp:Huehuetoca;wd:Q20283461;gn:3526957	Huehuetoca	inhabited places				-99.2033	19.8342	POINT (-99.2033 19.8342)		dbp:Huehuetoca	1200	1600
84959	Hueiyi					Hueiyi	nation									-1800	-1027
84960	Huelva			ES	viaf:146580089;loc:n80089393;gn:6358217;wd:Q12246;dbp:Huelva;tgn:7007784	Huelva;Onuba	inhabited places				-6.950833	37.258333	POINT (-6.950833 37.258333)		tgn:7007784	1936	1939
84961	Huepochtlan					Huepochtlan	nation									1200	1600
